date,session_key,meeting_key,driver_number,pit_duration,lap_number
2023-06-04T13:05:22.607000+00:00,9102,1211,4,37.7,1
2023-06-04T13:10:42.773000+00:00,9102,1211,77,23.6,5
2023-06-04T13:14:44.785000+00:00,9102,1211,27,22.2,8
2023-06-04T13:16:02.690000+00:00,9102,1211,24,23.4,9
2023-06-04T13:16:07.674000+00:00,9102,1211,21,22.5,9
2023-06-04T13:17:23.938000+00:00,9102,1211,22,22.1,10
2023-06-04T13:17:29.391000+00:00,9102,1211,20,22.1,10
2023-06-04T13:21:24.402000+00:00,9102,1211,31,22.1,13
2023-06-04T13:22:41.917000+00:00,9102,1211,18,22.3,14
2023-06-04T13:23:56.212000+00:00,9102,1211,55,22.3,15
2023-06-04T13:25:39.726000+00:00,9102,1211,16,21.7,16
2023-06-04T13:25:48.070000+00:00,9102,1211,23,23.3,16
2023-06-04T13:26:55.740000+00:00,9102,1211,81,22.3,17
2023-06-04T13:27:13.177000+00:00,9102,1211,2,22.5,17
2023-06-04T13:29:32.284000+00:00,9102,1211,14,22.5,19
2023-06-04T13:29:42.394000+00:00,9102,1211,10,23.3,19
2023-06-04T13:34:13.936000+00:00,9102,1211,4,22.8,22
2023-06-04T13:36:00.934000+00:00,9102,1211,44,22.5,24
2023-06-04T13:36:51.636000+00:00,9102,1211,20,24.8,24
2023-06-04T13:37:30.510000+00:00,9102,1211,63,22.2,25
2023-06-04T13:38:29.056000+00:00,9102,1211,1,22.2,26
2023-06-04T13:39:27.836000+00:00,9102,1211,27,23.2,26
2023-06-04T13:40:19.241000+00:00,9102,1211,11,21.7,27
2023-06-04T13:49:58.247000+00:00,9102,1211,18,23.3,34
2023-06-04T13:50:01.059000+00:00,9102,1211,22,22.0,34
2023-06-04T13:51:21.730000+00:00,9102,1211,31,24.1,35
2023-06-04T13:52:48.775000+00:00,9102,1211,24,22.8,36
2023-06-04T13:53:18.056000+00:00,9102,1211,2,23.8,36
2023-06-04T13:54:36.804000+00:00,9102,1211,23,23.4,37
2023-06-04T13:55:39.834000+00:00,9102,1211,21,21.9,38
2023-06-04T13:56:52.146000+00:00,9102,1211,81,22.8,39
2023-06-04T13:56:54.067000+00:00,9102,1211,10,23.6,39
2023-06-04T13:57:22.504000+00:00,9102,1211,77,24.0,39
2023-06-04T13:59:09.768000+00:00,9102,1211,55,22.3,41
2023-06-04T13:59:36.752000+00:00,9102,1211,16,23.0,41
2023-06-04T14:01:22.406000+00:00,9102,1211,20,22.2,42
2023-06-04T14:02:29.968000+00:00,9102,1211,27,24.4,43
2023-06-04T14:03:24.420000+00:00,9102,1211,14,22.8,44
2023-06-04T14:04:20.497000+00:00,9102,1211,63,22.0,45
2023-06-04T14:10:45.927000+00:00,9102,1211,44,22.7,50
