date,session_key,meeting_key,driver_number,position
2023-03-05T14:01:06.787000+00:00,7953,1141,1,1
2023-03-05T14:01:06.787000+00:00,7953,1141,11,2
2023-03-05T14:01:06.787000+00:00,7953,1141,16,3
2023-03-05T14:01:06.787000+00:00,7953,1141,55,4
2023-03-05T14:01:06.787000+00:00,7953,1141,14,5
2023-03-05T14:01:06.787000+00:00,7953,1141,63,6
2023-03-05T14:01:06.787000+00:00,7953,1141,44,7
2023-03-05T14:01:06.787000+00:00,7953,1141,18,8
2023-03-05T14:01:06.787000+00:00,7953,1141,31,9
2023-03-05T14:01:06.787000+00:00,7953,1141,27,10
2023-03-05T14:01:06.787000+00:00,7953,1141,4,11
2023-03-05T14:01:06.787000+00:00,7953,1141,77,12
2023-03-05T14:01:06.787000+00:00,7953,1141,24,13
2023-03-05T14:01:06.787000+00:00,7953,1141,22,14
2023-03-05T14:01:06.787000+00:00,7953,1141,23,15
2023-03-05T14:01:06.787000+00:00,7953,1141,2,16
2023-03-05T14:01:06.787000+00:00,7953,1141,20,17
2023-03-05T14:01:06.787000+00:00,7953,1141,81,18
2023-03-05T14:01:06.787000+00:00,7953,1141,21,19
2023-03-05T14:01:06.787000+00:00,7953,1141,10,20
2023-03-05T15:03:45.594000+00:00,7953,1141,1,2
2023-03-05T15:03:45.594000+00:00,7953,1141,11,3
2023-03-05T15:03:45.594000+00:00,7953,1141,16,4
2023-03-05T15:03:45.594000+00:00,7953,1141,55,5
2023-03-05T15:03:45.594000+00:00,7953,1141,14,6
2023-03-05T15:03:45.594000+00:00,7953,1141,63,7
2023-03-05T15:03:45.594000+00:00,7953,1141,44,1
2023-03-05T15:03:45.750000+00:00,7953,1141,1,3
2023-03-05T15:03:45.750000+00:00,7953,1141,11,4
2023-03-05T15:03:45.750000+00:00,7953,1141,16,5
2023-03-05T15:03:45.750000+00:00,7953,1141,55,6
2023-03-05T15:03:45.750000+00:00,7953,1141,14,7
2023-03-05T15:03:45.750000+00:00,7953,1141,63,8
2023-03-05T15:03:45.750000+00:00,7953,1141,18,2
2023-03-05T15:03:45.828000+00:00,7953,1141,1,5
2023-03-05T15:03:45.828000+00:00,7953,1141,11,6
2023-03-05T15:03:45.828000+00:00,7953,1141,16,7
2023-03-05T15:03:45.828000+00:00,7953,1141,55,8
2023-03-05T15:03:45.828000+00:00,7953,1141,14,9
