session_key,meeting_key,driver_number,qualifying_position,date
7768,1141,14,5,2023-03-04T15:00:00+00:00
7768,1141,1,1,2023-03-04T15:00:00+00:00
7768,1141,11,2,2023-03-04T15:00:00+00:00
7768,1141,44,7,2023-03-04T15:00:00+00:00
7768,1141,16,3,2023-03-04T15:00:00+00:00
7768,1141,63,6,2023-03-04T15:00:00+00:00
7768,1141,18,8,2023-03-04T15:00:00+00:00
7768,1141,55,4,2023-03-04T15:00:00+00:00
7768,1141,81,18,2023-03-04T15:00:00+00:00
7768,1141,10,20,2023-03-04T15:00:00+00:00
7768,1141,31,9,2023-03-04T15:00:00+00:00
7768,1141,24,13,2023-03-04T15:00:00+00:00
7768,1141,4,11,2023-03-04T15:00:00+00:00
7768,1141,20,17,2023-03-04T15:00:00+00:00
7768,1141,27,10,2023-03-04T15:00:00+00:00
7768,1141,22,14,2023-03-04T15:00:00+00:00
7768,1141,77,12,2023-03-04T15:00:00+00:00
7768,1141,2,16,2023-03-04T15:00:00+00:00
7768,1141,23,15,2023-03-04T15:00:00+00:00
7768,1141,21,19,2023-03-04T15:00:00+00:00
7775,1142,1,15,2023-03-18T17:00:00+00:00
7775,1142,11,1,2023-03-18T17:00:00+00:00
7775,1142,14,3,2023-03-18T17:00:00+00:00
7775,1142,18,6,2023-03-18T17:00:00+00:00
7775,1142,44,8,2023-03-18T17:00:00+00:00
7775,1142,16,2,2023-03-18T17:00:00+00:00
7775,1142,4,19,2023-03-18T17:00:00+00:00
7775,1142,81,9,2023-03-18T17:00:00+00:00
7775,1142,10,10,2023-03-18T17:00:00+00:00
7775,1142,55,5,2023-03-18T17:00:00+00:00
7775,1142,63,4,2023-03-18T17:00:00+00:00
7775,1142,24,12,2023-03-18T17:00:00+00:00
7775,1142,27,11,2023-03-18T17:00:00+00:00
7775,1142,31,7,2023-03-18T17:00:00+00:00
7775,1142,23,17,2023-03-18T17:00:00+00:00
7775,1142,2,20,2023-03-18T17:00:00+00:00
7775,1142,20,13,2023-03-18T17:00:00+00:00
7775,1142,77,14,2023-03-18T17:00:00+00:00
7775,1142,22,16,2023-03-18T17:00:00+00:00
7775,1142,21,18,2023-03-18T17:00:00+00:00
7783,1143,1,1,2023-04-01T05:00:00+00:00
7783,1143,14,4,2023-04-01T05:00:00+00:00
7783,1143,31,11,2023-04-01T05:00:00+00:00
7783,1143,63,2,2023-04-01T05:00:00+00:00
7783,1143,10,9,2023-04-01T05:00:00+00:00
7783,1143,11,20,2023-04-01T05:00:00+00:00
7783,1143,55,5,2023-04-01T05:00:00+00:00
7783,1143,44,3,2023-04-01T05:00:00+00:00
7783,1143,18,6,2023-04-01T05:00:00+00:00
7783,1143,24,17,2023-04-01T05:00:00+00:00
7783,1143,27,10,2023-04-01T05:00:00+00:00
7783,1143,23,8,2023-04-01T05:00:00+00:00
7783,1143,16,7,2023-04-01T05:00:00+00:00
7783,1143,81,16,2023-04-01T05:00:00+00:00
7783,1143,77,19,2023-04-01T05:00:00+00:00
7783,1143,22,12,2023-04-01T05:00:00+00:00
7783,1143,2,18,2023-04-01T05:00:00+00:00
7783,1143,20,14,2023-04-01T05:00:00+00:00
7783,1143,21,15,2023-04-01T05:00:00+00:00
7783,1143,4,13,2023-04-01T05:00:00+00:00
9064,1207,1,2,2023-04-28T13:00:00+00:00
9064,1207,16,1,2023-04-28T13:00:00+00:00
9064,1207,11,3,2023-04-28T13:00:00+00:00
9064,1207,55,4,2023-04-28T13:00:00+00:00
9064,1207,4,7,2023-04-28T13:00:00+00:00
9064,1207,21,20,2023-04-28T13:00:00+00:00
9064,1207,18,9,2023-04-28T13:00:00+00:00
9064,1207,14,6,2023-04-28T13:00:00+00:00
9064,1207,23,13,2023-04-28T13:00:00+00:00
9064,1207,24,16,2023-04-28T13:00:00+00:00
9064,1207,44,5,2023-04-28T13:00:00+00:00
9064,1207,81,10,2023-04-28T13:00:00+00:00
9064,1207,77,14,2023-04-28T13:00:00+00:00
9064,1207,22,8,2023-04-28T13:00:00+00:00
9064,1207,27,17,2023-04-28T13:00:00+00:00
9064,1207,2,15,2023-04-28T13:00:00+00:00
