session_key,team_name,driver_count,driver_numbers
7953,Red Bull Racing,2,"1,11"
7953,Williams,2,"2,23"
7953,McLaren,2,"4,81"
7953,Alpine,2,"10,31"
7953,Aston Martin,2,"14,18"
7953,Ferrari,2,"16,55"
7953,Haas F1 Team,2,"20,27"
7953,AlphaTauri,2,"21,22"
7953,Alfa Romeo,2,"24,77"
7953,Mercedes,2,"44,63"
7779,Red Bull Racing,2,"1,11"
7779,Williams,2,"2,23"
7779,McLaren,2,"4,81"
7779,Alpine,2,"10,31"
7779,Aston Martin,2,"14,18"
7779,Ferrari,2,"16,55"
7779,Haas F1 Team,2,"20,27"
7779,AlphaTauri,2,"21,22"
7779,Alfa Romeo,2,"24,77"
7779,Mercedes,2,"44,63"
7787,Red Bull Racing,2,"1,11"
7787,Williams,2,"2,23"
7787,McLaren,2,"4,81"
7787,Alpine,2,"10,31"
7787,Aston Martin,2,"14,18"
7787,Ferrari,2,"16,55"
7787,Haas F1 Team,2,"20,27"
7787,AlphaTauri,2,"21,22"
7787,Alfa Romeo,2,"24,77"
7787,Mercedes,2,"44,63"
9069,Red Bull Racing,2,"1,11"
9069,McLaren,2,"4,81"
9069,Alpine,2,"10,31"
9069,Aston Martin,2,"14,18"
9069,Ferrari,2,"16,55"
9069,Haas F1 Team,2,"20,27"
9069,AlphaTauri,2,"21,22"
9069,Williams,1,23
9069,Alfa Romeo,2,"24,77"
9069,Mercedes,2,"44,63"
9070,Red Bull Racing,2,"1,11"
9070,Williams,2,"2,23"
9070,McLaren,2,"4,81"
9070,Alpine,2,"10,31"
9070,Aston Martin,2,"14,18"
9070,Ferrari,2,"16,55"
9070,Haas F1 Team,2,"20,27"
9070,AlphaTauri,2,"21,22"
9070,Alfa Romeo,2,"24,77"
9070,Mercedes,2,"44,63"
9078,Red Bull Racing,2,"1,11"
9078,Williams,2,"2,23"
9078,McLaren,2,"4,81"
9078,Alpine,2,"10,31"
9078,Aston Martin,2,"14,18"
9078,Ferrari,2,"16,55"
9078,Haas F1 Team,2,"20,27"
9078,AlphaTauri,2,"21,22"
9078,Alfa Romeo,2,"24,77"
9078,Mercedes,2,"44,63"
9094,Red Bull Racing,2,"1,11"
9094,Williams,2,"2,23"
9094,McLaren,2,"4,81"
9094,Alpine,2,"10,31"
9094,Aston Martin,2,"14,18"
9094,Ferrari,2,"16,55"
9094,Haas F1 Team,2,"20,27"
9094,AlphaTauri,2,"21,22"
9094,Alfa Romeo,2,"24,77"
9094,Mercedes,2,"44,63"
9102,Red Bull Racing,2,"1,11"
9102,Williams,2,"2,23"
9102,McLaren,2,"4,81"
9102,Alpine,2,"10,31"
9102,Aston Martin,2,"14,18"
9102,Ferrari,2,"16,55"
9102,Haas F1 Team,2,"20,27"
9102,AlphaTauri,2,"21,22"
9102,Alfa Romeo,2,"24,77"
9102,Mercedes,2,"44,63"
9110,Red Bull Racing,2,"1,11"
9110,Williams,2,"2,23"
9110,McLaren,2,"4,81"
9110,Alpine,2,"10,31"
9110,Aston Martin,2,"14,18"
9110,Ferrari,2,"16,55"
9110,Haas F1 Team,2,"20,27"
9110,AlphaTauri,2,"21,22"
9110,Alfa Romeo,2,"24,77"
9110,Mercedes,2,"44,63"
9117,Red Bull Racing,2,"1,11"
9117,Williams,2,"2,23"
9117,McLaren,2,"4,81"
9117,Alpine,2,"10,31"
9117,Aston Martin,2,"14,18"
9117,Ferrari,2,"16,55"
9117,Haas F1 Team,2,"20,27"
9117,AlphaTauri,2,"21,22"
9117,Alfa Romeo,2,"24,77"
9117,Mercedes,2,"44,63"
9118,Red Bull Racing,2,"1,11"
9118,Williams,2,"2,23"
9118,McLaren,2,"4,81"
9118,Alpine,2,"10,31"
9118,Aston Martin,2,"14,18"
9118,Ferrari,2,"16,55"
9118,Haas F1 Team,2,"20,27"
9118,AlphaTauri,2,"21,22"
9118,Alfa Romeo,2,"24,77"
9118,Mercedes,2,"44,63"
9126,Red Bull Racing,2,"1,11"
9126,Williams,2,"2,23"
9126,McLaren,2,"4,81"
9126,Alpine,2,"10,31"
9126,Aston Martin,2,"14,18"
9126,Ferrari,2,"16,55"
9126,Haas F1 Team,2,"20,27"
9126,AlphaTauri,2,"21,22"
9126,Alfa Romeo,2,"24,77"
9126,Mercedes,2,"44,63"
9133,Red Bull Racing,2,"1,11"
9133,Williams,2,"2,23"
9133,AlphaTauri,2,"3,22"
9133,McLaren,2,"4,81"
9133,Alpine,2,"10,31"
9133,Aston Martin,2,"14,18"
9133,Ferrari,2,"16,55"
9133,Haas F1 Team,2,"20,27"
9133,Alfa Romeo,2,"24,77"
9133,Mercedes,2,"44,63"
9140,Red Bull Racing,2,"1,11"
9140,Williams,2,"2,23"
9140,AlphaTauri,2,"3,22"
9140,McLaren,2,"4,81"
9140,Alpine,2,"10,31"
9140,Aston Martin,2,"14,18"
9140,Ferrari,2,"16,55"
9140,Haas F1 Team,2,"20,27"
9140,Alfa Romeo,2,"24,77"
9140,Mercedes,2,"44,63"
9141,Red Bull Racing,2,"1,11"
9141,Williams,2,"2,23"
